Device,CPN,Video ID,Advertisement,Short Link,Video format,Audio format,Volume/Normalized,Bandwidth,Readahead,Viewport,Dropped frames,Mystery Text
LGE Nexus 5 8.1.0,htTKy96H4PID11ge,NhVWnWpMYlg,Yes,https://www.youtube.com/shorts/NhVWnWpMYlg,137 avc1 1080x1920@24,251:CggKA2RyYxIBMQ opus,0%/0%(content loudness 3.9 dB), 0.00 kbps, 10.3 s,1080x1704xfalse,0 / 83,GQ:26.6s;
LGE Nexus 5 8.1.0,htTKy96H4PID11ge,NhVWnWpMYlg,Yes,https://www.youtube.com/shorts/NhVWnWpMYlg,137 avc1 1080x1920@24,251:CggKA2RyYxIBMQ opus,0%/0%(content loudness 3.9 dB), 0.00 kbps, 14.7 s,1080x1704xfalse,0 / 247,GQ:19.7s;
LGE Nexus 5 8.1.0,cNb-pkXfS-ZMax55,KHhrpwbkNb8,,https://www.youtube.com/shorts/KHhrpwbkNb8,137 avc1 1080x1920@30,251:CggKA2RyYxIBMQ opus,0%/0%(content loudness -3.8 dB), 0.00 kbps, 16.8 s,1080x1704xfalse,0 / 61,GQ:16.8s;
LGE Nexus 5 8.1.0,cNb-pkXfS-ZMax55,KHhrpwbkNb8,,https://www.youtube.com/shorts/KHhrpwbkNb8,137 avc1 1080x1920@30,251:CggKA2RyYxIBMQ opus,0%/0%(content loudness -3.8 dB), 0.00 kbps, 10.1 s,1080x1704xfalse,0 / 260,GQ:10.1s;
LGE Nexus 5 8.1.0,cds-wTZDTZzvavRS,oA8KXNdse3w,,https://www.youtube.com/shorts/oA8KXNdse3w,137 avc1 1080x1920@30,251:CggKA2RyYxIBMQ opus,0%/0%(content loudness -5.5 dB), 0.00 kbps, 6.14 s,1080x1704xfalse,0 / 63,GQ:6.1s;
LGE Nexus 5 8.1.0,cds-wTZDTZzvavRS,oA8KXNdse3w,,https://www.youtube.com/shorts/oA8KXNdse3w,137 avc1 1080x1920@30,251:CggKA2RyYxIBMQ opus,0%/0%(content loudness -5.5 dB), 0.00 kbps, 8.16 s,1080x1704xfalse,1 / 242,GQ:8.2s;
LGE Nexus 5 8.1.0,dxGVITIoq5VghGs_,3woKtvmeIdg,,https://www.youtube.com/shorts/3woKtvmeIdg,136 avc1 720x1280@30,251:CggKA2RyYxIBMQ opus,0%/0%(content loudness -2.5 dB), 0.00 kbps, 8.07 s,1080x1704xfalse,0 / 63,GQ:8.1s;
LGE Nexus 5 8.1.0,dxGVITIoq5VghGs_,3woKtvmeIdg,,https://www.youtube.com/shorts/3woKtvmeIdg,136 avc1 720x1280@30,251:CggKA2RyYxIBMQ opus,0%/0%(content loudness -2.5 dB), 0.00 kbps, 1.51 s,1080x1704xfalse,0 / 259,GQ:1.5s;
LGE Nexus 5 8.1.0,9jMMQvnjTQDDZ6nv,gt-kG2qA8NU,Yes,https://www.youtube.com/shorts/gt-kG2qA8NU,135 avc1 854x480@25,251 opus,0%/0%(content loudness 7.7 dB), 0.00 kbps, 3.14 s,1080x1704xfalse,0 / 5974,GQ:3.1s;
LGE Nexus 5 8.1.0,9jMMQvnjTQDDZ6nv,gt-kG2qA8NU,Yes,https://www.youtube.com/shorts/gt-kG2qA8NU,135 avc1 854x480@25,251 opus,0%/0%(content loudness 7.7 dB), 0.00 kbps, 7.65 s,1080x1704xfalse,0 / 6124,GQ:7.6s;
